Name,Field,Degree,Address,lat,lon,Region,Tuition,ApplicationFee,Deadlines,ProgramLength,link,GRE,ApplyOnline,RecLetters,PersonalStatement,Transcipt,ResumeCV,IELTS,TOEFL,ELP,UniversityDetail,ProgramDetail,link to faculty,Professors,imageLink
UC Berkeley,Computer Science,PhD,"Berkeley, CA",40.8715,-123.276,Pacific,"11,442.00",120,2021/08/12,5,https://gradapp.berkeley.edu/apply/,No,Yes,3,No,Yes,Yes,No,Yes,No,"The University of California, Berkeley is a public land-grant research university in Berkeley, California. Established in 1868 as the University of California, it is the state's first land-grant university and the first campus of the University of California system.","The Berkeley PhD in EECS combines coursework and original research with some of the finest EECS faculty in the US, allowing students to prepare for careers in academia or industry. A Ph.D. in EECS combines coursework and original research with exceptional faculty mentoring to  prepare for a career in academia or industry. A graduate degree from Berkeley EECS ensures that you have cultivated the necessary skills to succeed in a career in industry or teaching.",https://www2.eecs.berkeley.edu/Faculty/Lists/CS/faculty.html,Ken Goldberg (goldberg@berkeley.edu); Marti Hearst (hearst@berkeley.edu); Martin Wainwright (wainwrig@eecs.berkeley.edu);,https://2u.com/static/d91a9ec29e0b55c83f4e970b5c4b8350/44b4e/campanile-clock-tower-berkeley_EkwFCde.max-2880x1800.jpg
University of Illinois - Urbana - Champaign,Computer Science,Master,"Champaign, IL",40.1164,-88.2434,MidWest,"32,000.00",70,2021/12/15,2,https://cs.illinois.edu,No,Yes,3,Yes,Yes,Yes,Yes,Yes,No,"The University of Illinois Urbana-Champaign (U of I, Illinois, or colloquially the University of Illinois or UIUC)[12][13] is a public land-grant research university in Illinois in the twin cities of Champaign and Urbana. It is the flagship institution of the University of Illinois system and was founded in 1867. Enrolling over 56,000 undergraduate and graduate students, the University of Illinois is one of the largest public universities by enrollment in the nation.",The Master of Science (M.S.) in computer science is a research-oriented degree that requires 28 credit hours of coursework and 4 credit hours of thesis. It can be counted towards the Ph.D. in Computer Science.,https://cs.illinois.edu/academics/graduate/graduate-forms-advising-resources/graduate-advising-contacts,Robin Kravets (rhk@illinois.edu); Darko Marinov (marinov@illinois.edu); Viveka P. Kudaligama (kudaliga@illinois.edu); Kara Macgregor (kmacgreg@illinois.edu); Maggie Metzger Chappell (mmetz2@illinois.edu); Christine Martinez (cmartinz@illinois.edu); Desiree Marmon (dmarmon@illinois.edu); Lisa Jagoda (lrjagoda@illinois.edu); Morgan Klajbor-Smith (morganks@illinois.edu); Dana Garard (dgarard@illinois.edu),https://history.illinois.edu/sites/default/files/inline-images/Union_0.jpg
University of Illinois - Urbana - Champaign,Computer Science,PhD,"Champaign, IL",41.1164,-88.2435,MidWest,"28,464.00",70,2021/12/15,5,https://cs.illinois.edu,No,Yes,3,Yes,Yes,Yes,Yes,Yes,No,"The University of Illinois Urbana-Champaign (U of I, Illinois, or colloquially the University of Illinois or UIUC)[12][13] is a public land-grant research university in Illinois in the twin cities of Champaign and Urbana. It is the flagship institution of the University of Illinois system and was founded in 1867. Enrolling over 56,000 undergraduate and graduate students, the University of Illinois is one of the largest public universities by enrollment in the nation.","The Ph.D. Program of Study is designed to allow students some flexibility to develop their curriculum in accordance with the Ph.D. graduation requirements and with the expectations of their Program of Study committee. Students are assigned three committee members during the first semester of their Ph.D. program, based on their research interests. Two committee members are appointed from the student's primary area of research interest and the third member from the secondary area of research interest.  Effective Fall 2020, the student's (prospective) advisor can serve as a committee member. Students must prepare the Program of Study form in consultation with their Program of Study committee through individual meetings, a group meeting, or other forms of correspondence. Students will discuss their area of interests with their committee to determine what required courses must be completed and develop strategies for meeting educational and career goals as well as the Ph.D. graduation requirements.",https://cs.illinois.edu/academics/graduate/graduate-forms-advising-resources/graduate-advising-contacts,Robin Kravets (rhk@illinois.edu); Darko Marinov (marinov@illinois.edu); Viveka P. Kudaligama (kudaliga@illinois.edu); Kara Macgregor (kmacgreg@illinois.edu); Maggie Metzger Chappell (mmetz2@illinois.edu); Christine Martinez (cmartinz@illinois.edu); Desiree Marmon (dmarmon@illinois.edu); Lisa Jagoda (lrjagoda@illinois.edu); Morgan Klajbor-Smith (morganks@illinois.edu); Dana Garard (dgarard@illinois.edu),https://history.illinois.edu/sites/default/files/inline-images/Union_0.jpg
Cornell University,Computer Science and Engineering,Master,"Ithaca, NY",42.4534,-76.4735,MidAtlantic,"29,500.00",95,2021/12/01,1,https://www.tech.cornell.edu/programs/masters-programs/master-in-computer-science/,No,No,1,Yes,Yes,Yes,Yes,Yes,No,"Cornell University is a private Ivy League and statutory land-grant research university, based in Ithaca, New York. Founded in 1865 by Ezra Cornell and Andrew Dickson White, Cornell was founded with the intention to teach and make contributions in all fields of knowledge — from the classics to the sciences, and from the theoretical to the applied. These ideals, unconventional for the time, are captured in Cornell's founding principle, a popular 1868 quotation from founder Ezra Cornell: ""I would found an institution where any person can find instruction in any study.""","The CS MS is a very small, highly selective, four-semester program for students who wish to deepen their knowledge of computer science through advanced coursework, research, writing, and teaching. The program is ideal for self-motivated students who have expository skills, enjoy the research environment, and like working with undergraduates in introductory courses. Students in the program serve as teaching assistants and receive full tuition plus a stipend.",https://www.cs.cornell.edu/people/faculty,Kavita Bala (kavitabala@cornell.edu); David Bindel (bindel@cornell.edu); Ron Brachman (inquiries@brachman.org); ,http://cdnapisec.kaltura.com/p/537811/thumbnail/entry_id/1_7vli4o6f/width/1280/height/718
Cornell University,Electrical Engineering,Master,"Ithaca, NY",43.4534,-76.4736,MidAtlantic,"29,500.00",95,2021/12/01,1,https://www.tech.cornell.edu/programs/masters-programs/master-in-electrical-and-computer-engineering/,No,No,1,Yes,Yes,Yes,Yes,Yes,No,"Cornell University is a private Ivy League and statutory land-grant research university, based in Ithaca, New York. Founded in 1865 by Ezra Cornell and Andrew Dickson White, Cornell was founded with the intention to teach and make contributions in all fields of knowledge — from the classics to the sciences, and from the theoretical to the applied. These ideals, unconventional for the time, are captured in Cornell's founding principle, a popular 1868 quotation from founder Ezra Cornell: ""I would found an institution where any person can find instruction in any study.""","The Master of Engineering (M.Eng.) program in Computer Science is a two-semester professional degree program designed to enhance practical skills. It roughly involves six courses and a project. Flexible requirements make it possible to realize a broad range of CS-related career possibilities.  The program is energized by the diversity of research within the department and across the campus. If you majored in CS or a related field as an undergraduate, then the program can be used to deepen your technical expertise. The program also works for those students who ""minored"" in CS and who wish to push the computing envelope in their undergraduate field of study, e.g., chemistry, civil engineering, sociology, etc. Students with entrepreneurial ambitions can take specially designed courses from the Johnson Graduate School of Management. They can also develop projects that respond to IT needs that surface all over campus. Students who have limited or no formal CS coursework should review our pre-requisite information available here and make sure they have met those requirements before applying.",https://www.cs.cornell.edu/people/faculty,Kavita Bala (kavitabala@cornell.edu); David Bindel (bindel@cornell.edu); Ron Brachman (inquiries@brachman.org); ,http://cdnapisec.kaltura.com/p/537811/thumbnail/entry_id/1_7vli4o6f/width/1280/height/719
Cornell University,Computer Science,PhD,"Ithaca, NY",44.4534,-76.4737,MidAtlantic,"29,500.00",95,2021/12/01,1,https://www.cs.cornell.edu/PhD,No,No,1,Yes,Yes,Yes,Yes,Yes,No,"Cornell University is a private Ivy League and statutory land-grant research university, based in Ithaca, New York. Founded in 1865 by Ezra Cornell and Andrew Dickson White, Cornell was founded with the intention to teach and make contributions in all fields of knowledge — from the classics to the sciences, and from the theoretical to the applied. These ideals, unconventional for the time, are captured in Cornell's founding principle, a popular 1868 quotation from founder Ezra Cornell: ""I would found an institution where any person can find instruction in any study.""","The Cornell Ph.D. program in computer science is consistently ranked among the top six departments in the country, with world-class research covering all of computer science. Our computer science program is distinguished by the excellence of the faculty, by a long tradition of pioneering research, and by the breadth of its Ph.D. program. Faculty and Ph.D. students are located both in Ithaca and in New York City at the Cornell Tech campus. The Field of Computer Science also includes faculty members from other departments (Electrical Engineering, Information Science, Applied Math, Mathematics, Operations Research and Industrial Engineering, Mechanical and Aerospace Engineering, Computational Biology, and Architecture) who can supervise a student's Ph.D. thesis research in computer science.",https://www.cs.cornell.edu/people/faculty,Kavita Bala (kavitabala@cornell.edu); David Bindel (bindel@cornell.edu); Ron Brachman (inquiries@brachman.org); ,http://cdnapisec.kaltura.com/p/537811/thumbnail/entry_id/1_7vli4o6f/width/1280/height/720
University of Washington,Computer Science,PhD,"Seattle, WA",47.655548,-122.3032,Pacific,"30,036.00",85,2021/12/15,5,https://www.cs.washington.edu/academics/PhD/admissions,Yes,Yes,3,Yes,Yes,Yes,No,No,Yes,"The University of Washington (UW, simply Washington, or informally U-Dub)[8] is a public research university in Seattle, Washington. Founded in 1861, Washington is one of the oldest universities on the West Coast; it was established in Seattle approximately a decade after the city's founding to aid its economic development. Today, the university's 703 acre main Seattle campus is in the University District, Puget Sound region of the Pacific Northwest. The university also has campuses in Tacoma and Bothell. Overall, UW encompasses over 500 buildings and over 20 million gross square footage of space, including one of the largest library systems in the world with more than 26 university libraries, as well as the UW Tower, lecture halls, art centers, museums, laboratories, stadiums, and conference centers. The university offers degrees through 140 departments in various colleges and schools, and functions on a quarter system.","The Allen School's Ph.D. process consists of three components: coursework, research, and thesis preparation. At the beginning of the program, students will take graduate-level courses in an array of topics spanning theory, systems, programming, and applications. They will also develop and refine their research skills working with their faculty advisor and other collaborators. These skills include information analysis and synthesis as well as written and verbal presentation capabilities. Student progress is measured at multiple steps throughout the program: the Qualifying Evaluation (a.k.a. “quals”), the General Exam, and the Candidacy of Philosophy, leading to the preparation and defense of their dissertation to obtain their Doctor of Philosophy degree.",https://www.cs.washington.edu/academics/PhD/advising,"Joe Eckert (jeckert1@cs.washington.edu); Les Sessoms (lsessoms@cs.washington,edu); Elle Brown (ellean@cs.washington.edu); Elise Dorough (elised@cs.washington.edu); Anna Karlin (karlin@cs.washing.edu)",https://scontent.fdsm1-1.fna.fbcdn.net/v/t1.6435-9/s960x960/106502327_10157941004049017_1865948305213080849_n.jpg?_nc_cat=103&ccb=1-5&_nc_sid=e3f864&_nc_ohc=sPozktLMaM8AX_dh_xK&_nc_ht=scontent.fdsm1-1.fna&oh=9cc8d06797f6a79122635778ae868b95&oe=61D114A7
Georgia Tech,Computer Science,Master,"Atlanta, GA",33.7756,-84.3963,South,"19,278.00",75,N/A,2,https://gradapp.gatech.edu/apply/,Yes,Yes,3,No,Yes,No,Yes,No,No,"The Georgia Institute of Technology, commonly referred to as Georgia Tech or, in the state of Georgia, as Tech,[9] is a public research university and institute of technology in Atlanta, Georgia.[10] It is part of the University System of Georgia and has satellite campuses in Savannah, Georgia; Metz, France; Athlone, Ireland; Shenzhen, China; and Singapore. The school was founded in 1885 as the Georgia School of Technology as part of Reconstruction plans to build an industrial economy in the post-Civil War Southern United States. Initially, it offered only a degree in mechanical engineering. By 1901, its curriculum had expanded to include electrical, civil, and chemical engineering. In 1948, the school changed its name to reflect its evolution from a trade school to a larger and more capable technical institute and research university. Today, Georgia Tech is organized into six colleges and contains about 31 departments/units, with emphasis on science and technology. It is well recognized for its degree programs in computer science and engineering.[11]","The program for the Master of Science in Computer Science (MSCS) prepares students for more highly productive careers in industry. Graduates receive the MSCS for completing one of three options in the program as described in this section. Students may apply to the program if they possess a bachelor's degree in computer science from an accredited institution. Students without a bachelor's degree in computer science are encouraged to apply as well, with the understanding that they will be required to complete remedial coursework appropriate to their background in addition to the requirements of the MSCS degree. All applicants are evaluated according to their prior academic record, scores on the Graduate Record Examination, a personal statement, and letters of recommendation. Applicants are selected for fall semester admission only. The application deadline is February 1. However, all applicants are encouraged to apply as early as possible because the selection process may begin well before the deadline.",https://www.cc.gatech.edu/people/faculty?field_person_school_target_id%5B204%5D=203,Mustaque Ahamad (mustaque.ahamad@cc.gatech.edu); Mostaga Ammar (ammar@cc.gatech.edu); Thomas Conte (conte@cc.gatech.edu); Richard Demillo (rad@gatech.edu); Merrick Furst (merrick.furst@cc.gatech.edu),https://lv7ms1pq6dm2sea8j1mrajzw-wpengine.netdna-ssl.com/wp-content/uploads/2020/09/GT-1200x675.jpg
Georgia Tech,Computer Science,PhD,"Atlanta, GA",34.7756,-84.3964,South,"19,278.00",75,N/A,5,https://gradapp.gatech.edu/apply/,Yes,Yes,3,No,Yes,No,Yes,Yes,No,"The Georgia Institute of Technology, commonly referred to as Georgia Tech or, in the state of Georgia, as Tech,[9] is a public research university and institute of technology in Atlanta, Georgia.[10] It is part of the University System of Georgia and has satellite campuses in Savannah, Georgia; Metz, France; Athlone, Ireland; Shenzhen, China; and Singapore. The school was founded in 1885 as the Georgia School of Technology as part of Reconstruction plans to build an industrial economy in the post-Civil War Southern United States. Initially, it offered only a degree in mechanical engineering. By 1901, its curriculum had expanded to include electrical, civil, and chemical engineering. In 1948, the school changed its name to reflect its evolution from a trade school to a larger and more capable technical institute and research university. Today, Georgia Tech is organized into six colleges and contains about 31 departments/units, with emphasis on science and technology. It is well recognized for its degree programs in computer science and engineering.[11]","As a research-oriented degree, the Ph.D. in Computer Science prepares exceptional students for careers at the cutting edge of academia, industry and government. Students are expected to demonstrate excellence in both defining and executing a substantial research project that forms a novel contribution to the state of the art in computing. With a highly individualized program of study, the degree provides students with depth in their chosen research area coupled with a rigorous breadth of knowledge across the discipline.",https://www.cc.gatech.edu/people/faculty?field_person_school_target_id%5B204%5D=204,Mustaque Ahamad (mustaque.ahamad@cc.gatech.edu); Mostaga Ammar (ammar@cc.gatech.edu); Thomas Conte (conte@cc.gatech.edu); Richard Demillo (rad@gatech.edu); Merrick Furst (merrick.furst@cc.gatech.edu),https://lv7ms1pq6dm2sea8j1mrajzw-wpengine.netdna-ssl.com/wp-content/uploads/2020/09/GT-1200x675.jpg
Princeton,Machine Learning,PhD,"Princeton, NJ",40.3573,-74.6672,MidAtlantic,"58,790.00",75,2021/12/15,5,https://gradschool.princeton.edu/admission/applying-princeton/apply,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,No,"Princeton University is a private Ivy League research university in Princeton, New Jersey. Founded in 1746 in Elizabeth as the College of New Jersey, Princeton is the fourth-oldest institution of higher education in the United States and one of the nine colonial colleges chartered before the American Revolution.[9][10][a] The institution moved to Newark in 1747, and then to the current site nine years later. It officially became a university in 1896 and was subsequently renamed Princeton University.","Machine learning and computational perception research at Princeton is focused on the theoretical foundations of machine learning, the experimental study of machine learning algorithms, and the interdisciplinary application of machine learning to other domains, such as biology and information retrieval. Some of the techniques that we are studying include boosting, probabilistic graphical models, support-vector machines, and nonparametric Bayesian techniques. We are especially interested in learning from large and complex data sets. Example applications include habitat modeling of species distributions, topic models of large collections of scientific articles, classification of brain images, protein function classification, and extensions of the Wordnet semantic network.",https://www.cs.princeton.edu/research/areas/mlearn,Ryan Adams (rpa@cs.princeton.edu); Sanjeev Arora (arora@cs.princeton.edu); Danqi Chen (danqic@cs.princeton.edu); Jia Deng (jiadeng@cs.princeton.edu); Barbara Engelhardt (bee@cs.princeton.edu); Tom Griffiths (tomg@cs.princeton.edu); Elad Hazan (ehazan@cs.princeton.edu); Karthik Narasimhan (karthikn@cs.princeton.edu); Olga Russakovsky (olgarus@cs.princeton.edu; Sebastian Seung (sseung@cs.princeton.edu),https://www.princeton.edu/sites/default/files/styles/scale_1440/public/images/2020/06/20170816_CL_DJA_152%281%29.jpg?itok=va4lLG5S
Caltech,,,"Pasadena, CA",34.1377,-118.1253,SouthWest,,,,,,,,,,,,,,,,,,,
University of Michigan,,,"Ann Arbor, MI",42.278,-83.7382,MidWest,,,,,,,,,,,,,,,,,,,
